date,district,rainfall,temperature,flood_level
2026-07-28,Bengaluru Urban,45.2,24.5,0.1
2026-07-29,Bengaluru Urban,68.9,23.0,0.8
2026-07-30,Bengaluru Urban,112.5,22.1,2.4
2026-07-31,Bengaluru Urban,95.0,22.5,3.1
2026-08-01,Bengaluru Urban,35.4,24.0,1.8
2026-07-28,Mysuru,12.5,26.0,0.0
2026-07-29,Mysuru,8.0,27.5,0.0
2026-07-30,Mysuru,4.5,28.0,0.0
2026-07-31,Mysuru,34.0,25.0,0.2
2026-08-01,Mysuru,22.1,25.5,0.1
2026-07-28,Dakshina Kannada,120.4,23.0,1.2
2026-07-29,Dakshina Kannada,185.2,22.0,3.5
2026-07-30,Dakshina Kannada,245.0,21.5,5.2
2026-07-31,Dakshina Kannada,190.8,22.0,4.8
2026-08-01,Dakshina Kannada,85.5,24.0,2.1
